STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
MA0234038           ,MARWAN COFFEE TABLE    ,4-Aug,10,32,0,13,6,2.42,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,4-Aug,10,32,0,14,2,2.17,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,4-Aug,10,32,2,15,0,0.83,Marwan,ETU,ENTU,ENTU
MA0234039           ,`,4-Aug,10,32,0,11,0,1.17,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,4-Aug,10,32,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,4-Aug,10,32,0,2,1,4,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,28-Jul,9,31,9,18,1,4.25,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,28-Jul,9,31,1,12,0,1.33,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,28-Jul,9,31,0,5,0,0.92,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,28-Jul,9,31,5,4,0,1.42,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,28-Jul,9,31,20,6,0,0.58,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,28-Jul,9,31,4,8,1,0.75,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,28-Jul,9,31,0,9,10,0.58,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,28-Jul,9,31,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,28-Jul,9,31,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,28-Jul,9,31,91,25,14,25.58,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,28-Jul,9,31,98,25,19,11.42,Judges,Bar Stool,DINE,BARS
